,Title,Github_urls,setup_files,docker_files,setup_info_in_readme,shell_instructions_in_readme,notebook_instructions_in_readme,code_instructions_in_readme
65,"Shared mobility services towards Mobility as a Service (MaaS): What, who and when?","['https://github.com/h2020-momentum/MOMENTUM', 'https://github.com/nsanthanakrishnan/Scopus-Query']","[False, False]","[False, False]","[False, False]","[False, True]","[False, True]","[False, False]"
66,Adaptive transit design: Optimizing fixed and demand responsive multi-modal transportation via continuous approximation,['https://github.com/giovanni-cal/future-transit'],[False],[False],[{}],[{}],[{}],[False]
67,Impacts of bus overtaking policies on the capacity of bus stops,['https://github.com/Sangen-Hu/Bus-stop-Simulation'],[False],[False],[{}],[{}],[{}],[False]
68,Scale effects in ridesplitting: A case study of the City of Chicago,['https://github.com/UTEL-UIUC/Ridesharing-Scale-Effects'],[False],[False],[True],[False],[True],[True]
69,Toward sustainable port-hinterland transportation: A holistic approach to design modal shift policy mixes,['https://github.com/quaquel/EMAworkbench'],[False],[False],[True],[False],[False],[False]
70,"I can board, but I'd rather wait: Active boarding delay choice behaviour analysis using smart card data in metro systems","['https://github.com/czaj/dce', 'https://github.com/chechezhe/IEUATMP']","[False, False]","[False, False]","[True, True]","[False, True]","[False, False]","[False, False]"
71,Examining nonlinearity in population inflow estimation using big data: An empirical comparison of explainable machine learning models,['https://github.com/SonghuaHu-UMD/Explainable_AI_Comparison'],[False],[False],[False],[False],[False],[True]
72,Analysis of links between dockless bikeshare and metro trips in Beijing,['https://github.com/blent-ai/ALEPython'],[False],[False],[True],[False],[True],[False]
73,Working from self-driving cars,"['https://github.com/ghirte/WorkingFromCar', 'https://github.com/ghirte/WorkingFromSelfDrivingCar']","[False, False]","[False, False]","[True, True]","[False, False]","[False, False]","[False, False]"
74,"Demand-responsive transport for students in rural areas: A case study in Vulkaneifel, Germany",['https://github.com/matsim-scenarios/matsim-vulkaneifel'],[False],[False],[True],[True],[False],[True]
75,"Framing active school travel in Ontario, or how spinach is good for you",['https://github.com/desjae/AST-Framing-Analysis-Ontario'],[False],[False],[False],[False],[False],[False]
76,Global path preference and local response: A reward decomposition approach for network path choice analysis in the presence of visually perceived attributes,['https://github.com/yuki-oyama/globalocal'],[False],[False],[False],[False],[False],[True]
77,Modeling and evaluating the travel behaviour in multimodal networks: A path-based unified equilibrium model and a tailored greedy solution algorithm,['https://github.com/bstabler/TransportationNetworks'],[False],[False],[True],[False],[True],[True]
78,Designing pedestrian zones within city center networks considering policy objective trade-offs,['https://github.com/yuki-oyama/pedzone-design'],[False],[False],[False],[False],[False],[True]
79,The influence of individual physical capabilities for cycling adoption: Understanding its influence and mode-shift potentials,['https://github.com/ivt-baug-ethz/brouterR'],[False],[False],[True],[False],[False],[False]
80,Microeconomic analysis of ridesourcing market regulation policies,['https://github.com/AliMaurenne/Microeconomic-model-of-ridesourcing-'],[False],[False],[{}],[{}],[{}],[False]
81,A participatory mapping approach to capturing perceived walkability,['https://github.com/JosephineRoper/map-me-walking'],[False],[False],[False],[False],[False],[False]
82,How does pedestrian accessibility vary for different people? Development of a Perceived user-specific Accessibility measure for Walking (PAW),"['https://github.com/goat-community/goat', 'https://github.com/bpmsg/ahp-os']","[False, False]","[False, False]","[False, True]","[False, False]","[False, False]","[False, False]"
83,Estimation of dynamic Origin–Destination matrices in a railway transportation network integrating ticket sales and passenger count data,['https://github.com/GretaGalliani/dynamic-OD-estimation-railway-network'],[False],[False],[False],[True],[False],[True]
84,Promoting social equity with cyclic tradable credits,['https://github.com/bstabler/TransportationNetworks'],[False],[False],[True],[False],[True],[True]
85,The electric autonomous dial-a-ride problem,['https://github.com/dima42/uber-gps-analysis'],[False],[False],[False],[False],[False],[False]
86,Networked sensor data error estimation,['https://github.com/yudiaspen/sensor-bias-estimation'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found']
87,Capacity approximations for near- and far-side bus stops in dedicated bus lanes,['https://github.com/Minyu-Shen/Simulation-for-bus-stops-near-signalized-intersection'],[False],[False],[False],[False],[False],[False]
88,Solving cyclic train timetabling problem through model reformulation: Extended time-space network construct and Alternating Direction Method of Multipliers methods,['https://github.com/YXZhangSWJTU/CyclicTrainTimetabling_ETSN'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found']
89,A cumulative service state representation for the pickup and delivery problem with transfers,['https://github.com/xzhou99/Agent-Plus'],[False],[False],[{}],[{}],[{}],[False]
90,ADMM-based problem decomposition scheme for vehicle routing problem with time windows,['https://github.com/YaoYuBJTU/ADMM_Python'],[False],[False],[{}],[{}],[{}],[False]
91,A unified equilibrium framework of new shared mobility systems,['https://github.com/bstabler/TransportationNetworks'],[False],[False],[True],[False],[True],[True]
92,Bayesian estimation of mixed multinomial logit models: Advances and simulation-based evaluations,['https://github.com/RicoKrueger/bayes_mxl'],[False],[False],[False],[False],[False],[False]
93,A hierarchical approach for splitting truck platoons near network discontinuities,['https://github.com/research-licit/ISTTT2019'],[False],[False],[False],[False],[True],[True]
94,A mixed integer programming formulation and scalable solution algorithms for traffic control coordination across multiple intersections based on vehicle space-time trajectories,['https://github.com/pflee2002/Multi-Intersection-Control-GAMS-CODE35T'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found']
95,A path-based equilibrium model for ridesharing matching,['https://github.com/bstabler/TransportationNetworks'],[False],[False],[True],[False],[True],[True]
96,Security analysis for fixed-time traffic control systems,['https://github.com/AICPS/LQM_traffic_sec_official'],[False],[False],[False],[False],[False],[False]
97,Towards delivery-as-a-service: Effective neighborhood search strategies for integrated delivery optimization of E-commerce and static O2O parcels,['https://github.com/oneoldfriend/MIQP-For-MD-MT-VRP'],[False],[False],[False],[False],[False],[False]
98,Enhancing discrete choice models with representation learning,['https://github.com/BSifringer/EnhancedDCM'],[False],[False],[True],[True],[False],[True]
99,The stochastic container relocation problem with flexible service policies,['https://github.com/vgalle/StochasticCRP'],[False],[False],[False],[False],[False],[True]
100,A convex programming approach for ridesharing user equilibrium under fixed driver/rider demand,"['https://github.com/bstabler/TransportationNetworks', 'https://github.com/WANGjunQAQ/A-convex-programming-approach-for-ridesharing-equilibrium-under-driver-rider-fixed-demand']","[False, False]","[False, False]","[True, False]","[False, False]","[True, False]","[True, False]"
101,Enforcing optimal routing through dynamic avoidance maps,['https://github.com/Ifsttar/Open-SymuVia'],[False],[False],[False],[False],[False],[False]
102,Convergence of fixed-point algorithms for elastic demand dynamic user equilibrium,['https://github.com/DrKeHan/DTA'],[False],[False],[True],[False],[False],[False]
103,On the application of variational theory to urban networks,['https://github.com/bstabler/TransportationNetworks'],[False],[False],[True],[False],[True],[True]
104,Adaptive large neighborhood search for integrated planning in railroad classification yards,['https://github.com/MoritzRuf/IntegratedCYPlanningInstances'],[False],[False],[False],[False],[False],[False]
105,Estimation of urban network capacity with second-best constraints for multimodal transport systems,['https://github.com/bstabler/TransportationNetworks'],[False],[False],[True],[False],[True],[True]
106,Deep Reinforcement Learning for Crowdsourced Urban Delivery,['https://github.com/tahame2/DRL_benchmarking_2021'],[False],[False],[True],[False],[False],[False]
107,Synchronizing time-dependent transportation services: Reformulation and solution algorithm using quadratic assignment problem,['https://github.com/Grieverwzn/network-design-qap'],[False],[False],[False],[False],[False],[False]
108,Network user equilibrium problems with infrastructure-enabled autonomy,['https://github.com/bstabler/TransportationNetworks'],[False],[False],[True],[False],[True],[True]
109,Predicting the matching probability and the expected ride/shared distance for each dynamic ridepooling order: A mathematical modeling approach,['https://github.com/seanys/Predicting-the-Matching-Probability-and-Expected-Ride-shared-Distance-of-Enroute-Ridepooling-Orders'],[False],[False],[False],[False],[False],[False]
110,Multi-directional continuous traffic model for large-scale urban networks,['https://github.com/Lyurlik/multidirectional-traffic-model'],[False],[False],[False],[False],[False],[True]
111,"A heuristic approach to integrate train timetabling, platforming, and railway network maintenance scheduling decisions",['https://github.com/zhangqin635/IntegratedOptimizationMTData'],[False],[False],[{}],[{}],[{}],[False]
112,A robust approximation for yard template optimization under uncertainty,['https://github.com/zerone01y/RAYTOP_dataset'],[False],[False],[False],[False],[False],[False]
113,Robust ship fleet deployment with shipping revenue management,['https://github.com/LingxiaoWu2021/RFDRM'],[False],[False],[False],[False],[False],[False]
114,A neural-embedded discrete choice model: Learning taste representation with strengthened interpretability,['https://github.com/deborahmit/TasteNet-MNL'],[False],[False],[False],[False],[False],[False]
115,Efficient and stable data-sharing in a public transit oligopoly as a coopetitive game,['https://github.com/BUILTNYU/transit-data-game'],[False],[False],[False],[False],[False],[False]
116,A random-utility-consistent machine learning method to estimate agents’ joint activity scheduling choice from a ubiquitous data set,['https://github.com/xr2006/AMXL'],[False],[False],[False],[False],[False],[False]
117,Rich arc routing problem in city logistics: Models and solution algorithms using a fluid queue-based time-dependent travel time representation,['https://github.com/jiawlu/Time_Dependent_VRP_BnP'],[False],[False],[False],[False],[False],[False]
118,Bayesian optimization for congestion pricing problems: A general framework and its instability,['https://github.com/bstabler/TransportationNetworks'],[False],[False],[True],[False],[True],[True]
119,General solution scheme for the static link transmission model,['https://github.com/bstabler/TransportationNetworks'],[False],[False],[True],[False],[True],[True]
120,Joint optimization of parcel allocation and crowd routing for crowdsourced last-mile delivery,['https://github.com/liliw27/PACR'],[False],[False],[False],[False],[False],[False]
121,"Combining discrete choice models and neural networks through embeddings: Formulation, interpretability and performance",['https://github.com/ioaar/Interpretable-Embeddings-MNL'],[False],[False],[False],[False],[False],[False]
122,Strong cutting planes for the capacitated multi-pickup and delivery problem with time windows,['https://github.com/coin-or/pulp'],[False],[False],[True],[True],[False],[False]
123,RIde-hail vehicle routing (RIVER) as a congestion game,['https://github.com/kenanz0630/river'],[False],[False],[False],[False],[False],[False]
124,Scalable reinforcement learning approaches for dynamic pricing in ride-hailing systems,['https://github.com/umnilab/RL_pricing'],[False],[False],[False],[True],[False],[False]
125,Deep hybrid model with satellite imagery: How to combine demand modeling and computer vision for travel behavior analysis?,"['https://github.com/sunnyqywang/demand_image', 'https://github.com/CompVis/stable-diffusion']","[False, False]","[False, False]","[{}, True]","[{}, True]","[{}, False]","[False, True]"
126,Local stability of traffic equilibria in an isotropic network,['https://github.com/UTEL-UIUC/TrafficStability'],[False],[False],[False],[False],[True],[True]
127,Statistical inference of travelers’ route choice preferences with system-level data,['https://github.com/pabloguarda/isuelogit'],[False],[False],[True],[False],[True],[False]
128,A bilevel hybrid iterated search approach to soft-clustered capacitated arc routing problems,['https://github.com/YangmingZhou/SoftCluCARP'],[False],[False],[False],[False],[False],[False]
129,Risk-aware urban air mobility network design with overflow redundancy,['https://github.com/QinshuangCoolWei/Risk-aware-Urban-Air-Mobility-Network-Design-with-Overflow-Redundancy'],[False],[False],[False],[True],[False],[True]
130,A Branch-and-Price algorithm for the electric autonomous Dial-A-Ride Problem,['https://github.com/dima42/uber-gps-analysis'],[False],[False],[False],[False],[False],[False]
131,Is order-2 proportionality good enough for approximating the most likely path flow in user equilibrium traffic assignment?,['https://github.com/bstabler/TransportationNetworks'],[False],[False],[True],[False],[True],[True]
132,What drives drivers to start cruising for parking? Modeling the start of the search process,['https://github.com/valhalla/valhalla'],[False],[False],[True],[True],[False],[True]
133,Tailored priority allocation in the bottleneck model with general user heterogeneity,['https://github.com/YangTransport/MBP_TR_PartB'],[False],[False],[True],[False],[False],[True]
134,Freelance drivers with a decline choice: Dispatch menus in on-demand mobility services for assortment optimization,['https://github.com/grubhub/mdrplib'],[False],[False],[False],[True],[False],[False]
135,Local detouredness: A new phenomenon for modelling route choice and traffic assignment,"['https://github.com/bstabler/TransportationNetworks', 'https://github.com/tkra-dtudk/BCMLDT']","[False, False]","[False, False]","[True, False]","[False, False]","[True, False]","[True, False]"
136,Comparing hundreds of machine learning and discrete choice models for travel demand modeling: An empirical benchmark,['https://github.com/mbc96325/Comparing-machine-learning-and-discrete-choice-model'],[False],[False],[False],[False],[False],[False]
137,Distribution planning problem for a high-speed rail catering service considering time-varying demands and pedestrian congestion: A lot-sizing-based model and decomposition algorithm,['https://github.com/Grieverwzn/Distribution_Planning_FSC'],[False],[False],[True],[False],[False],[True]
138,"Branch-and-price-and-cut for the synchronized vehicle routing problem with split delivery, proportional service time and multiple time windows",['https://github.com/osier-hust/SVRP-SPM'],[False],[False],[False],[False],[False],[False]
139,A branch-price-and-cut algorithm for the vehicle routing problem with release and due dates,['https://github.com/ywb2016/VRPRD-instance-files'],[False],[False],[False],[False],[False],[False]
140,Vulnerability of the worldwide air transportation network to global catastrophes such as COVID-19,['https://github.com/YaomingZhou/MultilayerEfficiency-LWNE'],[False],[False],[{}],[{}],[{}],[False]
141,Joint optimisation of transfer location and capacity for a capacitated multimodal transport network with elastic demand: a bi-level programming model and paradoxes,['https://github.com/hkujy/CapacitedMNDP'],[False],[False],[True],[False],[False],[False]
142,Matching and routing for shared autonomous vehicles in congestible network,['https://github.com/bstabler/TransportationNetworks'],[False],[False],[True],[False],[True],[True]
143,The pickup and delivery problem with synchronized en-route transfers for microtransit planning,['https://github.com/BUILTNYU/PDPSET'],[False],[False],[{}],[{}],[{}],[False]
144,A chance-constrained dial-a-ride problem with utility-maximising demand and multiple pricing structures,['https://github.com/davidrey123/DARP'],[False],[False],[False],[False],[False],[False]
145,First-mile logistics parcel pickup: Vehicle routing with packing constraints under disruption,['https://github.com/ivangipa/FirstMile'],[False],[False],[{}],[{}],[{}],[False]
146,Estimating the reorder point for a fill-rate target under a continuous review policy in the presence of non-standard lead-time demand distributions,['https://github.com/jpsaldanha/inventoRy'],[False],[False],[True],[False],[False],[False]
147,A machine learning-driven two-phase metaheuristic for autonomous ridesharing operations,['https://github.com/dima42/uber-gps-analysis'],[False],[False],[False],[False],[False],[False]
148,A cluster-based algorithm for home health care planning: A case study in Australia,['https://github.com/delarami/HHC'],[False],[False],[{}],[{}],[{}],[False]
149,Integrated path controlling and subsidy scheme for mobility and environmental management in automated transportation networks,['https://github.com/bstabler/TransportationNetworks'],[False],[False],[True],[False],[True],[True]
150,Relief and stimulus in a cross-sector multi-product scarce resource supply chain network,['https://github.com/Pergamono/SRSCN'],[False],[False],[False],[False],[False],[False]
151,A reliable emergency logistics network for COVID-19 considering the uncertain time-varying demands,['https://github.com/418399/COVID-19-related-data'],[False],[False],[{}],[{}],[{}],[False]
152,An optimization-based methodology equipped with lean tools to strengthen medical supply chain resilience during a pandemic: A case study from Turkey,['https://github.com/omerfarukktu/MSCresilience'],[False],[False],[{}],[{}],[{}],[False]
153,A novel flow update policy in solving traffic assignment problems: Successive over relaxation iteration method,['https://github.com/bstabler/TransportaionNetworks'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found'],['Repo not found']
154,A hierarchical optimization approach for dynamic pickup and delivery problem with LIFO constraints,['https://github.com/123zhangzq/TRE2023DPDPLIFO'],[False],[False],[False],[False],[False],[False]
155,Distributionally robust optimization for collaborative emergency response network design,['https://github.com/418399/DRO_CERN_Design'],[False],[False],[{}],[{}],[{}],[False]
156,Multiclass bi-criteria traffic assignment without class-specific variables: An alternative formulation and a subgradient projection algorithm,['https://github.com/bstabler/TransportationNetworks'],[False],[False],[True],[False],[True],[True]
157,An adaptive heuristic for Feeder Network Design with optional transshipment,['https://github.com/qez008/FND-OT'],[False],[False],[False],[False],[False],[False]
158,Integrating alternating direction method of multipliers and bush for solving the traffic assignment problem,['https://github.com/bstabler/TransportationNetworks'],[False],[False],[True],[False],[True],[True]
159,Route planning for last-mile deliveries using mobile parcel lockers: A hybrid q-learning network approach,['https://github.com/Yubin-Liu/Hybrid-Q-Learning-Network-Approach-for-MPLP'],[False],[False],[True],[False],[False],[True]
160,Towards efficient airline disruption recovery with reinforcement learning,['https://github.com/Yida-Ding/ADM-Research'],[False],[False],[{}],[{}],[{}],[False]
161,On the value of multi-echelon inventory management strategies for perishable items with on-/off-line channels,['https://github.com/DanieleGioia/PerishableMEC'],[False],[False],[True],[True],[False],[True]
162,A graph multi-attention network for predicting airport delays,['https://github.com/amatc2/Graph-Multi-Attention-Network'],[False],[False],[{}],[{}],[{}],[False]
163,A reinforcement learning-based hyper-heuristic for AGV task assignment and route planning in parts-to-picker warehouses,['https://github.com/ltbstudy/MAB-HH-test-data'],[False],[False],[{}],[{}],[{}],[False]
164,An efficient heuristic for very large-scale vehicle routing problems with simultaneous pickup and delivery,['https://github.com/falcopt/FSPD'],[False],[False],[False],[False],[False],[False]
